gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_08980,1103,1580,1305,800,1813,938,1551,851,1008,6221,4965,6646,2992,2692,1555,2366,2522,2291
cds-C4N14_08985,157,178,157,207,191,167,270,150,155,326,287,363,287,330,228,283,345,308
cds-C4N14_08990,56,41,59,117,111,91,164,76,120,14,26,19,94,78,49,38,55,53
cds-C4N14_08995,30,36,46,113,85,121,135,70,99,11,24,23,33,40,21,62,52,34
cds-C4N14_09000,345,549,431,254,584,289,500,305,305,527,421,581,623,685,407,483,508,506
cds-C4N14_09005,49,85,63,54,127,65,85,68,68,89,94,110,91,107,80,62,74,73
cds-C4N14_09010,71,92,77,59,132,164,101,68,75,158,168,169,101,113,72,107,131,112
cds-C4N14_09015,26,53,40,38,59,26,51,32,54,201,155,190,100,117,86,96,79,100
cds-C4N14_09020,1745,1728,1993,4324,3002,3423,5185,2752,3968,384,959,941,457,514,359,1353,1262,1660
cds-C4N14_09025,20,40,19,17,24,21,42,11,31,100,70,87,49,62,44,46,39,34
cds-C4N14_09030,23,16,12,19,24,26,35,15,21,62,54,77,58,90,44,53,51,31
cds-C4N14_09035,4,10,7,1,10,2,9,10,6,44,30,53,39,35,28,24,23,14
cds-C4N14_09040,17,30,26,22,26,30,33,12,34,94,107,108,57,74,50,61,51,52
cds-C4N14_09045,3,11,5,6,16,9,9,4,4,34,26,47,22,19,29,23,12,10
cds-C4N14_09050,20,20,22,15,29,26,24,15,11,33,42,64,28,48,18,37,36,24
cds-C4N14_09055,103,98,112,165,176,162,251,134,175,46,72,91,99,144,84,105,119,111
cds-C4N14_09060,245,733,582,396,798,419,780,426,531,149,149,215,380,436,276,236,207,214
cds-C4N14_09065,460,611,496,296,741,505,478,347,373,352,409,476,431,711,447,403,452,418
cds-C4N14_09070,1017,931,818,408,1132,501,802,494,546,2237,1734,2075,1730,3532,2178,1041,1090,1220
cds-C4N14_09075,100,145,106,52,191,109,107,91,80,190,156,209,66,129,58,136,126,126
cds-C4N14_09080,6,3,3,12,6,10,16,8,5,1,1,1,5,3,2,3,8,8
cds-C4N14_09090,8,12,11,6,7,19,20,5,5,15,6,22,13,24,10,16,21,11
cds-C4N14_09095,4,9,8,9,2,13,11,5,5,11,10,9,6,16,8,5,9,6
cds-C4N14_09100,22,13,13,18,27,23,40,27,20,2,12,7,12,8,13,12,16,8
cds-C4N14_09105,15,17,23,17,29,12,15,15,23,15,16,12,27,22,12,16,10,10
cds-C4N14_09110,91,120,89,39,122,84,91,59,67,245,196,250,175,168,76,109,145,138
cds-C4N14_09115,134,135,121,97,169,88,191,88,100,448,342,429,213,199,138,206,209,172
cds-C4N14_09120,913,1188,864,673,1296,831,1139,739,1070,1938,1244,1689,1270,1442,822,1113,1122,1152
cds-C4N14_09125,326,502,388,225,610,288,415,258,221,1471,1187,1608,4847,4682,2784,926,842,800
