gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_05660,9.452986358,2.792725572,5.382146293,7.745712461,6.700648564,5.879578742,10.93677172,5.83519318,8.52143001,1.781004966,4.136239772,2.391906953,2.334248427,3.221553472,7.41242216,3.1398004,2.677041681,3.738144139
cds-C4N14_05665,24.46655293,17.95323582,19.08215504,12.90952077,17.98595141,22.34239922,23.75919375,16.20886994,25.56429003,5.565640519,6.72138963,5.979767382,14.2389154,18.95031454,16.98680078,25.1184032,19.07392198,25.4873464
cds-C4N14_05670,7.784812295,4.787529552,14.6785808,7.745712461,8.816642848,21.16648347,16.59372262,9.076967168,14.91250252,4.229886795,4.394754758,4.783813906,4.201647168,3.979566054,5.250465696,9.07053449,5.019453153,7.816119564
cds-C4N14_05675,16.12568261,18.35219662,16.14643888,30.98284984,20.45461141,28.80993584,23.00493363,20.74735353,28.75982628,10.01815294,9.048024501,13.35481382,16.57316383,9.285654126,17.60450263,20.23426925,18.40466156,16.3119017
cds-C4N14_05680,16.12568261,14.76154945,14.6785808,20.00975719,15.51729141,19.40260985,15.8394625,25.28583711,17.5754494,22.03993646,19.13010895,21.72648815,20.07453647,13.26522018,20.69301186,20.23426925,22.75485429,24.12802126
cds-C4N14_05685,23.35443688,19.549079,18.10358299,20.65523323,22.57060569,29.39789371,23.00493363,26.58254671,29.82500503,17.36479842,19.13010895,21.12851142,28.01098112,22.17186802,33.97360157,32.79347085,26.77041681,26.84667155
cds-C4N14_05690,1312.852988,994.2103036,1117.529285,889.4659809,1046.359173,987.1812708,909.2605734,907.048362,1146.132336,718.4128783,849.7387582,919.8875489,2060.207661,1701.927749,1772.186598,1312.087701,1652.738608,1586.33244
cds-C4N14_05695,288.0380549,189.1074173,158.5286726,190.4154313,209.1307683,151.6931315,187.4336396,140.6929911,136.3428802,202.3666893,232.1464572,233.6095791,509.5664316,495.3612222,563.961786,290.2571037,280.0854859,255.8929579
cds-C4N14_05700,236.3246589,153.2009457,142.8715198,105.8580703,170.6902055,89.95755475,112.0076277,127.0775404,67.10626133,288.7454301,413.6239772,445.6919955,455.1784432,526.439738,592.6849219,323.3994412,363.073778,297.0125434
cds-C4N14_05705,264.12756,181.926123,167.8251071,125.8678275,182.3281741,82.90206026,96.16816517,141.3413459,93.20314073,698.8218236,747.3668238,734.7140857,720.3490645,883.8426703,892.5791684,422.4775872,495.2527111,355.4635245
cds-C4N14_05710,320.2894201,215.4388298,258.3430221,460.2244154,257.4459712,345.1312722,359.7820767,333.9027208,362.1607754,825.0505506,1103.600474,1106.05764,690.003835,815.8110411,920.6846024,510.0431317,581.5873053,507.7079404
cds-C4N14_05715,264.12756,302.0133226,299.4430483,202.6794761,241.9286797,252.233928,220.6210848,239.2429204,253.5125428,1529.438015,1417.696182,1486.769497,1022.400811,1179.088571,1176.104316,590.631342,615.0503263,653.1557305
cds-C4N14_05720,449.850939,644.7206463,701.1468762,484.7525049,531.8198966,436.2647427,499.6973288,473.2990024,506.4924962,323.2524014,556.5827643,515.4559483,780.1058242,1088.885074,1184.13444,597.6086762,644.832415,744.5703463
cds-C4N14_05725,42.2604096,28.32621652,27.40001749,48.41070288,22.21793998,41.74500907,45.25560714,38.25293307,41.5419713,11.57653228,13.44277926,17.14199983,24.27618364,27.47795609,20.38416094,21.9786028,15.05835946,18.35088941
cds-C4N14_05730,26.13472699,17.55427502,21.52858517,44.53784665,20.80727712,34.68951458,29.7932747,32.41773989,38.34643504,13.13491163,14.99386917,14.5507673,19.37426194,15.91826422,18.5310554,21.9786028,18.73929177,16.65173298
cds-C4N14_05735,95.64197962,88.56929671,91.98577301,110.3764026,78.99711992,95.24917562,112.0076277,97.25321966,89.4750151,172.0896049,144.768392,123.1832081,96.40446003,84.13939657,97.28804085,90.00761148,104.0699954,79.52052078
cds-C4N14_05740,22.24232084,12.36778468,22.99644325,16.782377,18.69128284,15.28690473,14.33094226,15.56051515,9.586608761,64.11617878,51.70299715,55.81116223,48.08551759,45.67025805,49.41614773,26.86273676,25.43189597,20.72970841
cds-C4N14_05745,179.0506828,188.7084565,161.4643888,154.9142492,161.520897,186.970604,160.6574053,174.4074406,152.3205614,294.9789475,260.8416206,236.5994627,193.2757697,220.9606676,213.1071371,173.3867554,147.2372925,146.467284
cds-C4N14_05750,447.0706489,770.7922579,782.3683566,781.6714825,738.1293392,703.1976175,795.7444255,789.6961436,894.750151,50.09076468,86.86103521,89.49718515,98.27185877,181.7335165,147.3218904,230.2520294,260.6769337,260.6505959
cds-C4N14_05755,648.9197106,899.2576342,974.168479,1133.455923,883.4276133,1035.981774,1074.066409,1074.972255,1149.860462,422.9886795,446.4553804,459.2461349,463.5817376,496.8772473,459.8790248,649.2409495,676.622285,696.9939663
cds-C4N14_05760,141.7947954,199.0814372,188.8644063,158.7871055,181.9755084,145.2255949,167.4457464,190.6163105,194.3951221,138.0278849,163.639986,155.8726031,159.1957427,182.8705353,194.5760817,197.8074252,229.5563242,172.2944617
cds-C4N14_05765,190.7279012,315.1790288,258.3430221,229.7894697,290.2438825,192.2622249,244.3802785,255.4517903,177.3522621,136.9147568,123.8286782,154.0786729,144.2565528,156.7191013,162.7644366,216.9950943,243.610793,192.3445075
cds-C4N14_05770,153.4720138,220.2263594,207.4572753,129.7406837,177.0381884,185.2067304,166.3143562,175.7041502,176.2870833,45.19300102,51.18596718,75.54439459,79.13102167,68.03162921,84.93400391,130.8250167,165.9765842,136.2723454
cds-C4N14_05775,301.9395054,256.132831,271.5537448,533.1632077,295.886534,479.1856675,417.1058458,418.8371993,397.3116742,349.9674759,308.666893,309.7519504,230.1568949,234.0363846,227.0054286,344.6803106,351.3617207,354.783862
cds-C4N14_05780,1251.686605,1388.782531,1531.465263,961.1138212,1387.739584,1084.19432,1082.363271,1110.631769,1075.830539,1201.28785,1003.555175,983.0737576,2612.02399,2197.288971,1913.33147,1606.182338,1687.20552,1665.51313
